id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
2183386,6,985,282,2H,598.1487739999998,Duel,Ground attacking duel,lost,64,16,60.0,9.0,f
2183401,59,985,2065,2H,661.318143,Duel,Ground loose ball duel,lost,32,18,46.0,10.0,f
2183412,6,985,442,2H,717.5865389999999,Pass,Head pass,,45,63,68.0,55.0,f
2183430,6,985,1242,2H,767.24332,Duel,Ground defending duel,lost,69,95,70.0,96.0,f
2183444,6,985,1673,2H,818.748168,Pass,Simple pass,,3,81,0.0,83.0,f
2183461,6,985,2162,2H,910.553976,Pass,Cross,Left,93,2,91.0,52.0,f
2183472,59,985,1314,2H,1067.1669900000002,Duel,Air duel,lost,77,72,77.0,67.0,f
2183491,59,985,161,2H,1167.2539150000002,Duel,Air duel,lost,71,50,72.0,80.0,f
2183505,6,985,282,2H,1186.3328170000004,Pass,Head pass,,36,31,43.0,36.0,f
2183522,59,985,71,2H,1307.8976650000004,Pass,High pass,,15,94,28.0,96.0,f
2183530,6,985,3217,2H,1323.630427,Pass,Cross,blocked,92,11,100.0,100.0,f
2183543,6,985,2215,2H,1386.400084,Duel,Ground loose ball duel,lost,48,72,45.0,71.0,f
2183563,6,985,2215,2H,1437.36207,Duel,Air duel,lost,86,62,85.0,58.0,f
2183575,59,985,311,2H,1491.4376430000002,Duel,Ground attacking duel,lost,74,6,74.0,20.0,f
2183601,59,985,1739,2H,1625.4832699999995,Pass,Launch,,15,36,71.0,6.0,f
2183638,6,985,2162,2H,1809.00234,Free Kick,Free Kick,,54,25,84.0,20.0,f
2183647,6,985,359,2H,1858.7981470000004,Free Kick,Corner,high,100,0,100.0,100.0,f
2183661,6,985,282,2H,1914.652451,Pass,Simple pass,,33,67,46.0,71.0,f
2183672,59,985,1460,2H,1967.253732,Pass,Cross,high,95,70,95.0,47.0,f
2183688,59,985,1314,2H,2062.397221,Duel,Air duel,lost,78,74,67.0,84.0,f
2183705,6,985,378,2H,2114.11275,Duel,Ground defending duel,lost,78,68,75.0,63.0,f
2183718,59,985,3235,2H,2156.956998,Duel,Ground loose ball duel,lost,82,47,83.0,58.0,f
2183736,59,985,3235,2H,2295.284426,Duel,Ground defending duel,lost,21,23,19.0,31.0,f
